sepallen,sepalwid,petallen,petalwid,irisname,irisnum
0,4.6,3.6,1.0,0.2,setosa,0
1,4.3,3.0,1.1,0.1,setosa,0
2,5.0,3.2,1.2,0.2,setosa,0
3,5.8,4.0,1.2,0.2,setosa,0
4,4.4,3.0,1.3,0.2,setosa,0
5,4.4,3.2,1.3,0.2,setosa,0
6,4.5,2.3,1.3,0.3,setosa,0
7,4.7,3.2,1.3,0.2,setosa,0
8,5.0,3.5,1.3,0.3,setosa,0
9,5.4,3.9,1.3,0.4,setosa,0
10,5.5,3.5,1.3,0.2,setosa,0
11,4.4,2.9,1.4,0.2,setosa,0
12,4.6,3.4,1.4,0.3,setosa,0
13,4.6,3.2,1.4,0.2,setosa,0
14,4.8,3.0,1.4,0.1,setosa,0
15,4.8,3.0,1.4,0.3,setosa,0
16,4.9,3.0,1.4,0.2,setosa,0
17,5.0,3.6,1.4,0.2,setosa,0
18,5.0,3.3,1.4,0.2,setosa,0
19,5.1,3.5,1.4,0.2,setosa,0
20,5.1,3.5,1.4,0.3,setosa,0
21,5.2,3.4,1.4,0.2,setosa,0
22,5.5,4.2,1.4,0.2,setosa,0
23,4.6,3.1,1.5,0.2,setosa,0
24,4.9,3.1,1.5,0.1,setosa,0
25,4.9,3.1,1.5,0.1,setosa,0
26,4.9,3.1,1.5,0.1,setosa,0
27,5.0,3.4,1.5,0.2,setosa,0
28,5.1,3.8,1.5,0.3,setosa,0
29,5.1,3.7,1.5,0.4,setosa,0
30,5.1,3.4,1.5,0.2,setosa,0
31,5.2,3.5,1.5,0.2,setosa,0
32,5.3,3.7,1.5,0.2,setosa,0
33,5.4,3.7,1.5,0.2,setosa,0
34,5.7,4.4,1.5,0.4,setosa,0
35,4.7,3.2,1.6,0.2,setosa,0
36,4.8,3.4,1.6,0.2,setosa,0
37,5.0,3.0,1.6,0.2,setosa,0
38,5.0,3.4,1.6,0.4,setosa,0
39,5.0,3.5,1.6,0.6,setosa,0
40,5.1,3.8,1.6,0.2,setosa,0
41,5.1,3.3,1.7,0.5,setosa,0
42,5.4,3.9,1.7,0.4,setosa,0
43,5.4,3.4,1.7,0.2,setosa,0
44,5.7,3.8,1.7,0.3,setosa,0
45,4.8,3.4,1.9,0.2,setosa,0
46,5.1,3.8,1.9,0.4,setosa,0
47,7.0,3.2,4.7,1.4,versicolor,1
48,4.9,2.4,3.3,1.0,versicolor,1
49,5.0,2.3,3.3,1.0,versicolor,1
50,5.0,2.0,3.5,1.0,versicolor,1
51,5.7,2.6,3.5,1.0,versicolor,1
52,5.6,2.9,3.6,1.3,versicolor,1
53,5.5,2.4,3.7,1.0,versicolor,1
54,5.5,2.4,3.8,1.1,versicolor,1
55,5.2,2.7,3.9,1.4,versicolor,1
56,5.6,2.5,3.9,1.1,versicolor,1
57,5.8,2.7,3.9,1.2,versicolor,1
58,5.5,2.3,4.0,1.3,versicolor,1
59,5.5,2.5,4.0,1.3,versicolor,1
60,5.8,2.6,4.0,1.2,versicolor,1
61,6.0,2.2,4.0,1.0,versicolor,1
62,6.1,2.8,4.0,1.3,versicolor,1
63,5.6,3.0,4.1,1.3,versicolor,1
64,5.8,2.7,4.1,1.0,versicolor,1
65,5.6,2.7,4.2,1.3,versicolor,1
66,5.7,3.0,4.2,1.2,versicolor,1
67,5.9,3.0,4.2,1.5,versicolor,1
68,6.4,2.9,4.3,1.3,versicolor,1
69,5.5,2.6,4.4,1.2,versicolor,1
70,6.3,2.3,4.4,1.3,versicolor,1
71,6.6,3.0,4.4,1.4,versicolor,1
72,6.7,3.1,4.4,1.4,versicolor,1
73,5.4,3.0,4.5,1.5,versicolor,1
74,5.6,3.0,4.5,1.5,versicolor,1
75,5.7,2.8,4.5,1.3,versicolor,1
76,6.0,2.9,4.5,1.5,versicolor,1
77,6.0,3.4,4.5,1.6,versicolor,1
78,6.2,2.2,4.5,1.5,versicolor,1
79,6.4,3.2,4.5,1.5,versicolor,1
80,6.1,3.0,4.6,1.4,versicolor,1
81,6.5,2.8,4.6,1.5,versicolor,1
82,6.6,2.9,4.6,1.3,versicolor,1
83,6.1,2.9,4.7,1.4,versicolor,1
84,6.1,2.8,4.7,1.2,versicolor,1
85,6.3,3.3,4.7,1.6,versicolor,1
86,6.7,3.1,4.7,1.5,versicolor,1
87,5.9,3.2,4.8,1.8,versicolor,1
88,6.8,2.8,4.8,1.4,versicolor,1
89,6.3,2.5,4.9,1.5,versicolor,1
90,6.9,3.1,4.9,1.5,versicolor,1
91,6.7,3.0,5.0,1.7,versicolor,1
92,6.0,2.7,5.1,1.6,versicolor,1
93,4.9,2.5,4.5,1.7,virginica,2
94,6.0,3.0,4.8,1.8,virginica,2
95,6.2,2.8,4.8,1.8,virginica,2
96,5.6,2.8,4.9,2.0,virginica,2
97,6.1,3.0,4.9,1.8,virginica,2
98,6.3,2.7,4.9,1.8,virginica,2
99,5.7,2.5,5.0,2.0,virginica,2
100,6.0,2.2,5.0,1.5,virginica,2
101,6.3,2.5,5.0,1.9,virginica,2
102,5.8,2.8,5.1,2.4,virginica,2
103,5.8,2.7,5.1,1.9,virginica,2
104,5.9,3.0,5.1,1.8,virginica,2
105,6.3,2.8,5.1,1.5,virginica,2
106,6.5,3.2,5.1,2.0,virginica,2
107,6.9,3.1,5.1,2.3,virginica,2
108,6.5,3.0,5.2,2.0,virginica,2
109,6.7,3.0,5.2,2.3,virginica,2
110,6.4,2.7,5.3,1.9,virginica,2
111,6.4,3.2,5.3,2.3,virginica,2
112,6.2,3.4,5.4,2.3,virginica,2
113,6.9,3.1,5.4,2.1,virginica,2
114,6.4,3.1,5.5,1.8,virginica,2
115,6.5,3.0,5.5,1.8,virginica,2
116,6.8,3.0,5.5,2.1,virginica,2
117,6.1,2.6,5.6,1.4,virginica,2
118,6.3,2.9,5.6,1.8,virginica,2
119,6.3,3.4,5.6,2.4,virginica,2
120,6.4,2.8,5.6,2.1,virginica,2
121,6.4,2.8,5.6,2.2,virginica,2
122,6.7,3.1,5.6,2.4,virginica,2
123,6.7,3.3,5.7,2.1,virginica,2
124,6.7,3.3,5.7,2.5,virginica,2
125,6.9,3.2,5.7,2.3,virginica,2
126,6.5,3.0,5.8,2.2,virginica,2
127,6.7,2.5,5.8,1.8,virginica,2
128,7.2,3.0,5.8,1.6,virginica,2
129,6.8,3.2,5.9,2.3,virginica,2
130,7.1,3.0,5.9,2.1,virginica,2
131,7.2,3.2,6.0,1.8,virginica,2
132,7.2,3.6,6.1,2.5,virginica,2
133,7.4,2.8,6.1,1.9,virginica,2
134,7.7,3.0,6.1,2.3,virginica,2
135,7.3,2.9,6.3,1.8,virginica,2
136,7.9,3.8,6.4,2.0,virginica,2
137,7.6,3.0,6.6,2.1,virginica,2
138,7.7,3.8,6.7,2.2,virginica,2
139,7.7,2.8,6.7,2.0,virginica,2
140,7.7,2.6,6.9,2.3,virginica,2
